"name","gemeinde","link"
"Aare Energie AG","Olten","http://www.aen.ch"
"Energie Opfikon AG","Opfikon","https://www.energieopfikon.ch"
"Commune d'Orsières","Orsières","https://www.orsieres.ch"
"Elektrizitätswerk der Gemeinde Pfyn","Pfyn","https://www.pfyn.ch/xml_1/internet/de/intro.cfm"
"Gemeindewerke Pfäffikon","Pfäffikon","https://www.gwpfaeffikon.ch/"
"Energieversorgung Pieterlen","Pieterlen","https://www.pieterlen.ch/de/verwaltung/abteilungen/detail/detail.php?i=36"
"Elektrizitäts- und Wasserversorgung Port","Port","http://ewvport.ch/"
"Impresa Elettrica Comunale Poschiavo","Poschiavo","https://www.poschiavo.ch/it/uffici/impresa-elettrica"
"Services industriels de Pully","Pully","https://www.pully.ch/fr/vivre-a-pully/reseaux-souterrains/electricite/tarifs-facture-reglement/"
"Elektrizitätswerk Randa AG","Randa","https://www.randa.ch/wp-content/uploads/2017/02/EW-Randa-Tarifblatt-ab-01-01-2017.pdf"
"Elektrizitätswerk Raperswilen","Raperswilen","https://www.raperswilen.ch"
"Elektrizitätswerk Jona- Rapperswil AG","Rapperswil-Jona","https://www.ewjr.ch"
"EVR Energieversorgung Raron AG","Raron","https://www.evraron.ch"
"Elektrizitätsversorgung Rebstein","Rebstein","http://www.rebstein.ch"
"Elektrizitätswerk Reichenburg","Reichenburg","https://www.reichenburg.ch/de/verwaltung/aemter/?amt_id=4031"
"Elektra Busslingen","Remetschwil","https://www.elektra-busslingen.ch"
"WERKE Rheineck","Rheineck","http://www.rheineck.ch"
"Elektrizitätswerk Hinterrhein","Rheinwald","https://www.rheinwald.ch"
"Elektrizitätsversorgung der Politischen Gemeinde Rickenbach","Rickenbach (TG)","https://www.rickenbach-tg.ch"
"Elektra Rietheim","Rietheim","http://www.rietheim.ch"
"Elektrizitäts-Genossenschaft Riniken","Riniken","https://www.riniken.ch/verwaltung/werke/elektrizitaet/"
"Gemeindebetriebe Roggwil","Roggwil (BE)","https://www.gbr-roggwil.ch"
"Elektra Roggwil","Roggwil (TG)","https://www.elektra-roggwil-freidorf.ch"
"Services industriels de Romanel-sur-Lausanne","Romanel-sur-Lausanne","https://www.romande-energie.ch/images/files/particuliers/maison-et-energie/Production_electricite"
"Technische Betriebe Rorschach","Rorschach","https://www.rorschach.ch"
"Elektrizitätsversorgung Rorschacherberg","Rorschacherberg","http://www.rorschacherberg.ch"
"Elektra - Genossenschaft Rottenschwil - Werd","Rottenschwil","https://rottenschwil.ch/wohnen/energieversorgung"
"Elektra Rudolfstetten-Friedlisberg AG","Rudolfstetten-Friedlisberg","http://www.elektra-rf.ch/"
"Elektrizitätsversorgung Rupperswil","Rupperswil","https://www.rupperswil.ch"
"Elektrizitätswerk Rümlang Genossenschaft","Rümlang","https://www.ewruemlang.ch/"
"Elektra Rüthi","Rüthi (SG)","https://www.ruethi.ch"
"Einwohnergemeinde Rüti bei Büren- Abt. Stromversorgung","Rüti bei Büren","https://www.ruetibeibueren.ch/?page_id=93"
"Elektrizitätsversorgung Saas Almagell","Saas-Almagell","http://www.saas-almagell.org"
"Elektrizitätsgenossenschaft Saas Balen","Saas-Balen","https://www.evwr.ch/produkte-und-dienstleistungen/preise-tarife/elektrizitaetsgenossenschaft-saas-balen-egb/"
"Elektrizitätswerk der Gemeinde Saas-Fee","Saas-Fee","https://www.3906.ch/aemter/5990"
"Elektrizitätswerk der Gemeinde Saas Grund","Saas-Grund","https://www.ev-saasgrund.ch"
"Politische Gemeinde Safiental","Safiental","http://www.safiental.ch/gemeinde/wohnen-arbeiten/ver-und-entsorgung/energie/"
"Gemeindebetriebe Safnern","Safnern","https://www.safnern.ch/de/verwaltung/dienstleistungen/detail.php?i=135"
"Service Electrique de la commune de Saint-Blaise","Saint-Blaise","https://www.eli10.ch"
"Services Techniques de la Municipalité de St. Imier","Saint-Imier","https://www.saint-imier.ch"
"Elektrizitätswerk der Einheitsgemeinde Salenstein","Salenstein","https://www.salenstein.ch"
"Elektrizitätswerk der Gemeinde Samedan","Samedan","https://www.samedan.ch/willkommen/services/technische-betriebe/elektrizitaetswerk.html/259"
"Elektrizitätswerk Samnaun","Samnaun","https://www.ewsamnaun.ch/"
"Società Semplice Comuni Concedenti Elin","San Vittore","http://www.energiadelmoesano.ch"
"Städtische Werke Schaffhausen und Neuhausen am Rheinfall","Schaffhausen","https://www.shpower.ch/"
"Elektrizitätswerk Schafisheim","Schafisheim","https://www.schafisheim.ch"
"Elektrizitätswerk der Gemeinde Scharans","Scharans","https://www.scharans.ch"
"Elektrizitätsversorgung Schlatt","Schlatt (TG)","https://www.schlatt.ch"
"EW Schmerikon AG","Schmerikon","https://www.ewschmerikon.ch"
"Elektra Schnottwil","Schnottwil","https://www.schnottwil.ch/de/"
"Energieversorgung Schänis AG","Schänis","http://www.ev-schaenis.ch"
"Elektrizitätsversorgung Schöftland","Schöftland","https://www.schoeftland.ch"
"Hydrantenkorporation & Elektraversorgung Schönengrund","Schönengrund","https://www.schoenengrund.ch"
